Metric,2005,2016,2017,2018,2019,2020,2021,2022,2023,Units
Percentage of women on board of directors,not reported,not reported,not reported,not reported,0.08333333333,0.1111111111,0.1111111111,0.2222222222,0.2222222222,% of women
Percentage of minorities on board of directors,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,% of minorities
Environmental Fines,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,number of fines
Total number on board of directors,not reported,not reported,not reported,not reported,12,9,9,9,9,number of people
