Metric,2005,2016,2017,2018,2019,2020,2021,2022,2023,Units
Percentage of women in total workforce,not reported,not reported,not reported,not reported,0.1210749843,0.1222143865,0.1256162915,0.1278994147,0.1313884624,% of women
Percentage of minorities in total workforce,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,% of minorities
Support of SDGs (Number of Goals),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,% of goals supported
Total number of employees,not reported,not reported,not reported,not reported,14363,14180,13995,13839,13677,number of employees
