Metric,2005,2016,2017,2018,2019,2020,2021,2022,2023,Units
Percentage of women in total workforce,not reported,not reported,not reported,not reported,not reported,not reported,0.2,0.22,0.34,% of women
Percentage of minorities in total workforce,not reported,not reported,not reported,not reported,not reported,not reported,0.39,0.35,0.372,% of minorities
Support of SDGs (Number of Goals),not reported,not reported,not reported,not reported,not reported,not reported,,0.2941176471,0.2941176471,% of goals supported
Total number of employees,1060,1180,1303,1346,1402,1385,1480,1530,1576,number of employees
