Metric,2005,2016,2017,2018,2019,2020,2021,2022,2023,Units
Percentage of women in total workforce,not reported,not reported,not reported,not reported,0.19,0.19,0.24,0.22,0.25,% of women
Percentage of minorities in total workforce,not reported,not reported,not reported,not reported,0.33,0.33,0.32,0.35,0.37,% of minorities
Support of SDGs (Number of Goals),not reported,not reported,not reported,not reported,not reported,not reported,0.1764705882,0.2941176471,0.2941176471,% of goals supported
Total number of employees,not reported,not reported,not reported,not reported,6179,"6,836","8,027",8905,8278,number of employees
