Metric,2005,2016,2017,2018,2019,2020,2021,2022,2023,Units
Percentage of women on board of directors,not reported,not reported,not reported,0.06666666667,0.06666666667,0.07692307692,0.1666666667,0.1818181818,0.1666666667,% of women
Percentage of minorities on board of directors,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,% of minorities
Environmental Fines,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,number of fines
Total number on board of directors,not reported,not reported,not reported,15,15,13,12,11,12,number of people
