Metric,2005,2016,2017,2018,2019,2020,2021,2022,2023,Units
Percentage of women in total workforce,not reported,not reported,not reported,0.119751336,0.122935373,0.122381225,0.2171832744,0.220585095,0.2261174408,% of women
Percentage of minorities in total workforce,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,% of minorities
Support of SDGs (Number of Goals),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,% of goals supported
Total number of employees,not reported,not reported,not reported,9169,9021,8735,4807,4683,4564,number of employees
